GRE Score,Chance of Admit 
337,0.92
324,0.76
316,0.72
322,0.8
314,0.65
330,0.9
321,0.75
308,0.68
302,0.5
323,0.45
325,0.52
327,0.84
328,0.78
307,0.62
311,0.61
314,0.54
317,0.66
319,0.65
318,0.63
303,0.62
312,0.64
325,0.7
328,0.94
334,0.95
336,0.97
340,0.94
322,0.76
298,0.44
295,0.46
310,0.54
300,0.65
327,0.74
338,0.91
340,0.9
331,0.94
320,0.88
299,0.64
300,0.58
304,0.52
307,0.48
308,0.46
316,0.49
313,0.53
332,0.87
326,0.91
322,0.88
329,0.86
339,0.89
321,0.82
327,0.78
313,0.76
312,0.56
334,0.78
324,0.72
322,0.7
320,0.64
316,0.64
298,0.46
300,0.36
311,0.42
309,0.48
307,0.47
304,0.54
315,0.56
325,0.52
325,0.55
327,0.61
316,0.57
318,0.68
328,0.78
332,0.94
336,0.96
321,0.93
314,0.84
314,0.74
329,0.72
327,0.74
301,0.64
296,0.44
294,0.46
312,0.5
340,0.96
320,0.92
322,0.92
340,0.94
319,0.76
315,0.72
317,0.66
314,0.64
316,0.74
318,0.64
299,0.38
298,0.34
301,0.44
303,0.36
304,0.42
306,0.48
331,0.86
332,0.9
323,0.79
322,0.71
312,0.64
314,0.62
317,0.57
326,0.74
316,0.69
329,0.87
338,0.91
331,0.93
304,0.68
305,0.61
321,0.69
301,0.62
320,0.72
311,0.59
310,0.66
299,0.56
290,0.45
296,0.47
327,0.71
335,0.94
334,0.94
310,0.57
308,0.61
301,0.57
300,0.64
323,0.85
319,0.78
326,0.84
333,0.92
339,0.96
303,0.77
309,0.71
323,0.79
333,0.89
314,0.82
312,0.76
316,0.71
326,0.8
318,0.78
329,0.84
332,0.9
331,0.92
340,0.97
325,0.8
320,0.81
315,0.75
326,0.83
339,0.96
311,0.79
334,0.93
332,0.94
321,0.86
324,0.79
326,0.8
312,0.77
315,0.7
309,0.65
306,0.61
297,0.52
315,0.57
298,0.53
318,0.67
317,0.68
329,0.81
322,0.78
302,0.65
313,0.64
293,0.64
311,0.65
312,0.68
334,0.89
322,0.86
323,0.89
321,0.87
320,0.85
329,0.9
319,0.82
309,0.72
307,0.73
300,0.71
305,0.71
299,0.68
314,0.75
316,0.72
327,0.89
317,0.84
335,0.93
331,0.93
324,0.88
324,0.9
323,0.87
322,0.86
336,0.94
316,0.77
307,0.78
306,0.73
310,0.73
311,0.7
313,0.72
317,0.73
315,0.72
340,0.97
334,0.97
298,0.69
295,0.57
315,0.63
310,0.66
305,0.64
301,0.68
325,0.79
328,0.82
338,0.95
333,0.96
331,0.94
330,0.93
322,0.91
321,0.85
324,0.84
312,0.74
313,0.76
316,0.75
324,0.76
308,0.71
305,0.67
296,0.61
306,0.63
312,0.64
318,0.71
324,0.82
313,0.73
319,0.74
312,0.69
304,0.64
330,0.91
326,0.88
325,0.85
329,0.86
310,0.7
299,0.59
296,0.6
317,0.65
324,0.7
325,0.76
314,0.63
328,0.81
316,0.72
311,0.71
324,0.8
321,0.77
320,0.74
316,0.7
318,0.71
335,0.93
321,0.85
307,0.79
309,0.76
324,0.78
326,0.77
331,0.9
327,0.87
312,0.71
308,0.7
324,0.7
325,0.75
313,0.71
312,0.72
314,0.73
327,0.83
308,0.77
306,0.72
299,0.54
294,0.49
312,0.52
315,0.58
322,0.78
329,0.89
320,0.7
308,0.66
304,0.67
311,0.68
317,0.8
312,0.81
321,0.8
340,0.94
331,0.93
336,0.92
324,0.89
314,0.82
313,0.79
307,0.58
300,0.56
302,0.56
312,0.64
316,0.61
317,0.68
310,0.76
320,0.86
330,0.9
305,0.71
309,0.62
319,0.66
322,0.65
323,0.73
313,0.62
321,0.74
323,0.79
325,0.8
312,0.69
308,0.7
320,0.76
328,0.84
311,0.78
301,0.67
305,0.66
308,0.65
298,0.54
300,0.58
324,0.79
327,0.8
317,0.75
323,0.73
314,0.72
305,0.62
315,0.67
326,0.81
299,0.63
295,0.69
324,0.8
297,0.43
327,0.8
311,0.73
308,0.75
319,0.71
312,0.73
325,0.83
319,0.72
332,0.94
323,0.81
324,0.81
312,0.75
326,0.79
